viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
children-not-in-school?sex=female&level=primary&metric_type=rate,WorldMap,,,7cdbd1ea0a2245edb96d521fcc673de1,children-not-in-school?sex=female&level=primary&metric_type=rate_v0_850x600.svg,1,29,230531368,126542
children-not-in-school?sex=female&level=upper_secondary&metric_type=number,WorldMap,,,6f855185fae764c71ea58fdcf231d490,children-not-in-school?sex=female&level=upper_secondary&metric_type=number_v0_850x600.svg,3,30,300536384,98608
children-not-in-school?sex=female&level=upper_secondary&metric_type=rate,WorldMap,,,f8ed5d9865148c6710a0ed407acdc7d0,children-not-in-school?sex=female&level=upper_secondary&metric_type=rate_v0_850x600.svg,2,23,253650264,105965
children-not-in-school?sex=male&level=level_side_by_side&metric_type=number,StackedArea,,,2824624b532ca7f4f90be2f029ca1a8d,children-not-in-school?sex=male&level=level_side_by_side&metric_type=number_v0_850x600.svg,15,49,235001752,386582
children-not-in-school?sex=male&level=level_side_by_side&metric_type=rate,LineChart,,,b1888244ae6c42bf3bf5c1a3e1f100b8,children-not-in-school?sex=male&level=level_side_by_side&metric_type=rate_v0_850x600.svg,10,44,328704528,417904
children-not-in-school?sex=male&level=lower_secondary&metric_type=number,WorldMap,,,4ecc102d9f08ae5bff2a1cd245d1da64,children-not-in-school?sex=male&level=lower_secondary&metric_type=number_v0_850x600.svg,2,34,298066984,87129
children-not-in-school?sex=male&level=lower_secondary&metric_type=rate,WorldMap,,,cbcf3724997449e55367c4dd5ecdd1be,children-not-in-school?sex=male&level=lower_secondary&metric_type=rate_v0_850x600.svg,3,54,303488040,93528
children-not-in-school?sex=male&level=pre_primary&metric_type=number,WorldMap,,,4fc5d793b58444b9db6e9baddbd79d10,children-not-in-school?sex=male&level=pre_primary&metric_type=number_v0_850x600.svg,3,24,326404072,82616
children-not-in-school?sex=male&level=pre_primary&metric_type=rate,WorldMap,,,039e8ea1ab82eac226c8e31e93ee26ea,children-not-in-school?sex=male&level=pre_primary&metric_type=rate_v0_850x600.svg,1,21,273913632,91900
children-not-in-school?sex=male&level=primary&metric_type=number,WorldMap,,,f8e10d530798148f33cc0c8fc0e5aa2c,children-not-in-school?sex=male&level=primary&metric_type=number_v0_850x600.svg,2,27,265629744,118096
children-not-in-school?sex=male&level=primary&metric_type=rate,WorldMap,,,3d89d9e352fa2db7967c02428826940e,children-not-in-school?sex=male&level=primary&metric_type=rate_v0_850x600.svg,4,40,193574888,126472
children-not-in-school?sex=male&level=upper_secondary&metric_type=number,WorldMap,,,bf89c9f11f59b59d7f3439f4f9c31a9c,children-not-in-school?sex=male&level=upper_secondary&metric_type=number_v0_850x600.svg,4,40,281807984,98741
children-not-in-school?sex=male&level=upper_secondary&metric_type=rate,WorldMap,,,a3a744785bb88142ddced50e6f3e8472,children-not-in-school?sex=male&level=upper_secondary&metric_type=rate_v0_850x600.svg,2,24,359701024,106004
children-not-in-school?sex=sex_side_by_side&level=lower_secondary&metric_type=number,StackedArea,,,d97c5434def0e5cebbdf8da449458d7c,children-not-in-school?sex=sex_side_by_side&level=lower_secondary&metric_type=number_v0_850x600.svg,7,37,267701224,174471
children-not-in-school?sex=sex_side_by_side&level=lower_secondary&metric_type=rate,LineChart,,,808da5c78f1340a024d5aaa522d3ac39,children-not-in-school?sex=sex_side_by_side&level=lower_secondary&metric_type=rate_v0_850x600.svg,7,39,251448240,187305
children-not-in-school?sex=sex_side_by_side&level=pre_primary&metric_type=number,StackedArea,,,40587c0be3277e14f3eb6bac0b92ebb9,children-not-in-school?sex=sex_side_by_side&level=pre_primary&metric_type=number_v0_850x600.svg,8,208,301861736,164911
children-not-in-school?sex=sex_side_by_side&level=pre_primary&metric_type=rate,LineChart,,,d8a00f4466919e9a9f472393028ecbeb,children-not-in-school?sex=sex_side_by_side&level=pre_primary&metric_type=rate_v0_850x600.svg,15,70,308771488,183259
children-not-in-school?sex=sex_side_by_side&level=primary&metric_type=number,StackedArea,,,648305f638a82dc13eb64f910933ca7b,children-not-in-school?sex=sex_side_by_side&level=primary&metric_type=number_v0_850x600.svg,5,29,296695944,236143
children-not-in-school?sex=sex_side_by_side&level=primary&metric_type=rate,LineChart,,,59e33c57f436fa27365642d4068d2c71,children-not-in-school?sex=sex_side_by_side&level=primary&metric_type=rate_v0_850x600.svg,14,59,354346040,253014
children-not-in-school?sex=sex_side_by_side&level=upper_secondary&metric_type=number,StackedArea,,,6b71d6700cc9748cdc2691e48c322ff5,children-not-in-school?sex=sex_side_by_side&level=upper_secondary&metric_type=number_v0_850x600.svg,15,78,238470136,197349
children-not-in-school?sex=sex_side_by_side&level=upper_secondary&metric_type=rate,LineChart,,,fdaadf51b9234a9f95215a3cb4880a75,children-not-in-school?sex=sex_side_by_side&level=upper_secondary&metric_type=rate_v0_850x600.svg,7,58,331122728,211969
education-spending?level=all&spending_type=constant_ppp,WorldMap,,,6362cdbc59ddd7a62402301e9ece03fa,education-spending?level=all&spending_type=constant_ppp_v0_850x600.svg,2,22,271311816,108170
education-spending?level=all&spending_type=gdp_share,WorldMap,,,7097b555146b8bba3edda193f72baf0a,education-spending?level=all&spending_type=gdp_share_v0_850x600.svg,2,29,290467952,164684
education-spending?level=all&spending_type=per_student,WorldMap,,,503a5197488a477df129f7820bcf3ca1,education-spending?level=all&spending_type=per_student_v0_850x600.svg,2,25,215078872,58404
education-spending?level=all&spending_type=total_government,WorldMap,,,c1372bd8a99b35305020b2cb71319e8c,education-spending?level=all&spending_type=total_government_v0_850x600.svg,2,42,193385400,140463
education-spending?level=level_side_by_side&spending_type=constant_ppp,StackedBar,,,f66388707c400da11a79173e1e3d10c5,education-spending?level=level_side_by_side&spending_type=constant_ppp_v0_850x600.svg,27,83,320069768,359306
education-spending?level=level_side_by_side&spending_type=gdp_share,StackedBar,,,56634f7d7aed893745354e693d0f5a30,education-spending?level=level_side_by_side&spending_type=gdp_share_v0_850x600.svg,9,50,298160296,467016
education-spending?level=level_side_by_side&spending_type=per_student,StackedBar,,,7c23f485372a1fb6f2e5859602ed106a,education-spending?level=level_side_by_side&spending_type=per_student_v0_850x600.svg,14,56,330258776,294424
education-spending?level=lower_secondary&spending_type=constant_ppp,WorldMap,,,d5722607bc349247bd2f4e1b1c806480,education-spending?level=lower_secondary&spending_type=constant_ppp_v0_850x600.svg,2,22,305455992,53904
education-spending?level=lower_secondary&spending_type=gdp_share,WorldMap,,,1249dea4d1a963e57f998045cf685246,education-spending?level=lower_secondary&spending_type=gdp_share_v0_850x600.svg,3,25,232409952,55878
education-spending?level=lower_secondary&spending_type=per_student,WorldMap,,,a1bcc9d0a508e4a2f74b37eaf0989739,education-spending?level=lower_secondary&spending_type=per_student_v0_850x600.svg,1,18,318152824,48496
education-spending?level=preprimary&spending_type=constant_ppp,WorldMap,,,39fbe47882dcf098fcf70bbf9ee374c0,education-spending?level=preprimary&spending_type=constant_ppp_v0_850x600.svg,3,31,216833736,82357
education-spending?level=preprimary&spending_type=gdp_share,WorldMap,,,2b537191914084371db179a1a966efa0,education-spending?level=preprimary&spending_type=gdp_share_v0_850x600.svg,2,76,191152600,110052
education-spending?level=preprimary&spending_type=per_student,WorldMap,,,b911d45a5048b21a30118470fbe7a175,education-spending?level=preprimary&spending_type=per_student_v0_850x600.svg,5,26,325834600,74461
education-spending?level=primary&spending_type=constant_ppp,WorldMap,,,2d5adaba49cb2549341b8886e8553ad3,education-spending?level=primary&spending_type=constant_ppp_v0_850x600.svg,2,23,336454456,80946
education-spending?level=primary&spending_type=gdp_share,WorldMap,,,3483618cf9ccb619ceece0427d3fd17c,education-spending?level=primary&spending_type=gdp_share_v0_850x600.svg,3,39,255975064,116478
education-spending?level=primary&spending_type=per_student,WorldMap,,,d933b4e9a4ef841af87d18b4d13bb313,education-spending?level=primary&spending_type=per_student_v0_850x600.svg,3,24,307255008,63993
education-spending?level=tertiary&spending_type=constant_ppp,WorldMap,,,4a9cff1f898344e2c9ac7006bafbd508,education-spending?level=tertiary&spending_type=constant_ppp_v0_850x600.svg,2,22,238576472,87018
education-spending?level=tertiary&spending_type=gdp_share,WorldMap,,,704f7bbcdcc55820139e8b23857773fe,education-spending?level=tertiary&spending_type=gdp_share_v0_850x600.svg,2,34,304621416,126847
education-spending?level=tertiary&spending_type=per_student,WorldMap,,,a82441254281688a8aad3ce289a8888c,education-spending?level=tertiary&spending_type=per_student_v0_850x600.svg,1,19,345570488,59840
education-spending?level=upper_secondary&spending_type=constant_ppp,WorldMap,,,020e69345ac87b48580d0c78fde0e8de,education-spending?level=upper_secondary&spending_type=constant_ppp_v0_850x600.svg,4,25,276982264,55081
education-spending?level=upper_secondary&spending_type=gdp_share,WorldMap,,,a3fd8520f773c9f26c75958c2159e932,education-spending?level=upper_secondary&spending_type=gdp_share_v0_850x600.svg,6,42,211511376,57761
education-spending?level=upper_secondary&spending_type=per_student,WorldMap,,,97794a4f0edcb6024b05ba8175fac1b1,education-spending?level=upper_secondary&spending_type=per_student_v0_850x600.svg,2,19,257365528,47634
female-teachers?level=level_side_by_side,LineChart,,,ada5f082abec64c0e5eba56faab3ec09,female-teachers?level=level_side_by_side_v0_850x600.svg,16,56,343818144,572402
female-teachers?level=primary,WorldMap,,,048f01655caa6aa55109b8b84be06bce,female-teachers?level=primary_v0_850x600.svg,3,67,190240088,238535
female-teachers?level=secondary,WorldMap,,,e1e2ee227098d0294c6e58747ad11dcd,female-teachers?level=secondary_v0_850x600.svg,2,24,330989712,188088
female-teachers?level=tertiary,WorldMap,,,bb386bda040cf20cfd94879f2b3a75e1,female-teachers?level=tertiary_v0_850x600.svg,4,34,248144536,145779
fertilizer-use?metric=agricultural_use&nutrient=all_fertilizers,WorldMap,,,15a4f9f428e1970b82a2a6aa1879ef33,fertilizer-use?metric=agricultural_use&nutrient=all_fertilizers_v0_850x600.svg,3,35,232026880,413601
fertilizer-use?metric=agricultural_use&nutrient=nitrogen,WorldMap,,,2a3777ce9695f78247f2e7d4f98d0374,fertilizer-use?metric=agricultural_use&nutrient=nitrogen_v0_850x600.svg,2,26,369624736,380017
fertilizer-use?metric=agricultural_use&nutrient=phosphate,WorldMap,,,5c178bb65325af359c4683e132b8660b,fertilizer-use?metric=agricultural_use&nutrient=phosphate_v0_850x600.svg,5,29,233972656,367079
fertilizer-use?metric=agricultural_use&nutrient=potash,WorldMap,,,c9058d5475393f1e360e683a58ec3f91,fertilizer-use?metric=agricultural_use&nutrient=potash_v0_850x600.svg,2,26,352990880,357090
fertilizer-use?metric=export_quantity&nutrient=nitrogen,WorldMap,,,70ebe131bfbe7f16085bb229126dda3d,fertilizer-use?metric=export_quantity&nutrient=nitrogen_v0_850x600.svg,4,26,268829744,305397
fertilizer-use?metric=export_quantity&nutrient=phosphate,WorldMap,,,c475c30378b3cdfcc8326d1586f4b099,fertilizer-use?metric=export_quantity&nutrient=phosphate_v0_850x600.svg,3,28,211357816,284402
fertilizer-use?metric=export_quantity&nutrient=potash,WorldMap,,,3d24d96a32e9dd80c4f83e91ff894613,fertilizer-use?metric=export_quantity&nutrient=potash_v0_850x600.svg,2,22,250619000,259282
fertilizer-use?metric=import_quantity&nutrient=nitrogen,WorldMap,,,ea0a4007205744e48ee91c8ae50c2832,fertilizer-use?metric=import_quantity&nutrient=nitrogen_v0_850x600.svg,3,25,343470576,396860
fertilizer-use?metric=import_quantity&nutrient=phosphate,WorldMap,,,a6153e4215ead3855aa7aa25aabd4b51,fertilizer-use?metric=import_quantity&nutrient=phosphate_v0_850x600.svg,2,27,326753488,384337
fertilizer-use?metric=import_quantity&nutrient=potash,WorldMap,,,40ed6a376060aafef9e41a1ca6fd1c30,fertilizer-use?metric=import_quantity&nutrient=potash_v0_850x600.svg,2,26,261730840,384203
fertilizer-use?metric=production&nutrient=nitrogen,WorldMap,,,4f0cc7d498fb7204b2e428c81d0c79a7,fertilizer-use?metric=production&nutrient=nitrogen_v0_850x600.svg,3,32,289429016,251550
fertilizer-use?metric=production&nutrient=phosphate,WorldMap,,,0351499fb22d4994230af45b8f5bd7c6,fertilizer-use?metric=production&nutrient=phosphate_v0_850x600.svg,2,32,344155280,235649
fertilizer-use?metric=production&nutrient=potash,WorldMap,,,78e155bc8eafc0dff78f35d0d62e5d91,fertilizer-use?metric=production&nutrient=potash_v0_850x600.svg,4,24,358247496,144066
fertilizer-use?metric=share_of_global_exports&nutrient=nitrogen,WorldMap,,,dd4875d032656be734d9850dc7ffc6f1,fertilizer-use?metric=share_of_global_exports&nutrient=nitrogen_v0_850x600.svg,3,42,272203896,335873
fertilizer-use?metric=share_of_global_exports&nutrient=phosphate,WorldMap,,,5fa82ee516eab59d1434bd02a0ece133,fertilizer-use?metric=share_of_global_exports&nutrient=phosphate_v0_850x600.svg,6,44,233496416,311080
fertilizer-use?metric=share_of_global_exports&nutrient=potash,WorldMap,,,5839616090a03f105aa1a05589567b0f,fertilizer-use?metric=share_of_global_exports&nutrient=potash_v0_850x600.svg,3,42,231582872,284365
fertilizer-use?metric=use_per_area_of_cropland&nutrient=all_fertilizers,WorldMap,,,5feb5cd82dfce77591e6703cd2142410,fertilizer-use?metric=use_per_area_of_cropland&nutrient=all_fertilizers_v0_850x600.svg,4,36,315917472,387148
fertilizer-use?metric=use_per_area_of_cropland&nutrient=nitrogen,WorldMap,,,7db619b0c3a028f183f9b56e480b845a,fertilizer-use?metric=use_per_area_of_cropland&nutrient=nitrogen_v0_850x600.svg,3,30,382421888,373817
fertilizer-use?metric=use_per_area_of_cropland&nutrient=phosphate,WorldMap,,,3820ff225ce864bfc88854284cdc95c5,fertilizer-use?metric=use_per_area_of_cropland&nutrient=phosphate_v0_850x600.svg,3,29,369465080,362219
fertilizer-use?metric=use_per_area_of_cropland&nutrient=potash,WorldMap,,,9c3600dc23b5442772cc7ebce63e0fea,fertilizer-use?metric=use_per_area_of_cropland&nutrient=potash_v0_850x600.svg,4,46,260056456,352966
gini-coefficient-lis?welfare_type=before_vs_after,LineChart,,,ff904450a82042ce83e92c37f0094cb5,gini-coefficient-lis?welfare_type=before_vs_after_v0_850x600.svg,5,72,259824640,56462
gini-coefficient-lis?welfare_type=dhi,LineChart,,,ec8de50b4da2e4fbb6cbfd6b56d16e70,gini-coefficient-lis?welfare_type=dhi_v0_850x600.svg,2,51,283445744,35792
gini-coefficient-lis?welfare_type=mi,LineChart,,,91c7f830ad9fb73b2de95476196a0ea9,gini-coefficient-lis?welfare_type=mi_v0_850x600.svg,2,42,313135128,20670
gini-coefficient-wb?survey_comparability=no_spells,WorldMap,,,72e74d4c82b401117e975bac5db31118,gini-coefficient-wb?survey_comparability=no_spells_v0_850x600.svg,2,28,403213776,102493
gini-coefficient-wb?survey_comparability=spells,LineChart,,,6e5191397ad4ad9648c68aef9cbc4752,gini-coefficient-wb?survey_comparability=spells_v0_850x600.svg,10,98,382261608,103405
gini-coefficient-wid?welfare_type=after_tax,WorldMap,,,fb0a00327d0d57220c36dbc8ddd6824f,gini-coefficient-wid?welfare_type=after_tax_v0_850x600.svg,1,52,251183784,85880
gini-coefficient-wid?welfare_type=before_tax,WorldMap,,,222906208ebb4478a704a132c6e66a9f,gini-coefficient-wid?welfare_type=before_tax_v0_850x600.svg,5,54,287517168,115690
gini-coefficient-wid?welfare_type=before_vs_after,LineChart,,,6bcb5069e959edf1fe6d31fb3caf22e9,gini-coefficient-wid?welfare_type=before_vs_after_v0_850x600.svg,11,89,253250704,201570
ihme-deaths-air-pollution?metric=number&pollution_type=all,WorldMap,,,8809341c2a0a762ea55d17d9ea1661f4,ihme-deaths-air-pollution?metric=number&pollution_type=all_v0_850x600.svg,2,28,377729432,258837
ihme-deaths-air-pollution?metric=number&pollution_type=indoor,WorldMap,,,eb7e8cece2d82953588a265b71ef6d14,ihme-deaths-air-pollution?metric=number&pollution_type=indoor_v0_850x600.svg,2,36,291301288,259527
ihme-deaths-air-pollution?metric=number&pollution_type=outdoor,WorldMap,,,64e1cb5a2bdb0ec169ce058be0f1ca8d,ihme-deaths-air-pollution?metric=number&pollution_type=outdoor_v0_850x600.svg,3,38,409660416,259076
ihme-deaths-air-pollution?metric=rate&pollution_type=all,WorldMap,,,3d8e24b2ee582bf7bef0954211a5a97b,ihme-deaths-air-pollution?metric=rate&pollution_type=all_v0_850x600.svg,2,62,274600952,252475
ihme-deaths-air-pollution?metric=rate&pollution_type=indoor,WorldMap,,,ada12741ec997a23d0220911d142b837,ihme-deaths-air-pollution?metric=rate&pollution_type=indoor_v0_850x600.svg,3,47,402870792,254696
ihme-deaths-air-pollution?metric=rate&pollution_type=outdoor,WorldMap,,,56f01ca232235880b1d909684aabaccc,ihme-deaths-air-pollution?metric=rate&pollution_type=outdoor_v0_850x600.svg,3,59,283143320,251879
ihme-deaths-air-pollution?metric=share&pollution_type=all,WorldMap,,,67c3b3fb9d838ace2a8f7b8345d759a2,ihme-deaths-air-pollution?metric=share&pollution_type=all_v0_850x600.svg,5,70,315146456,252454
ihme-deaths-air-pollution?metric=share&pollution_type=indoor,WorldMap,,,2f89bdf794aacaf5cc4177c16df28816,ihme-deaths-air-pollution?metric=share&pollution_type=indoor_v0_850x600.svg,4,54,379268648,256538
ihme-deaths-air-pollution?metric=share&pollution_type=outdoor,WorldMap,,,bf1ff4c9900fa17a3d6742304ff4eb2d,ihme-deaths-air-pollution?metric=share&pollution_type=outdoor_v0_850x600.svg,4,61,314701568,252495
ilo-national-vs-modeled-data?indicator=employment_to_population_ratio,LineChart,,,98b572548aa85fc8cec1e23f6670f3f6,ilo-national-vs-modeled-data?indicator=employment_to_population_ratio_v0_850x600.svg,12,70,428348224,354730
ilo-national-vs-modeled-data?indicator=labor_force_participation_rate,LineChart,,,fe71a25e8b195d87d91f856940f5cc42,ilo-national-vs-modeled-data?indicator=labor_force_participation_rate_v0_850x600.svg,13,77,255159752,380048
ilo-national-vs-modeled-data?indicator=unemployment_rate,LineChart,,,73f1a7b17ba9e0d2a477a0901146b79c,ilo-national-vs-modeled-data?indicator=unemployment_rate_v0_850x600.svg,13,71,273091968,373095
incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=before_vs_after,LineChart,,,192c815f41caa2ab48bb185681921878,incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=before_vs_after_v0_850x600.svg,3,46,309610936,54594
incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=dhi,LineChart,,,ea776a2ccedf643922c97459ab40547c,incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=dhi_v0_850x600.svg,1,26,378410176,34232
incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=mi,LineChart,,,2e08debefbc6dc3d733ed2e194caedce,incomes-across-distribution-lis?decile=_1&period=day&indicator=avg&welfare_type=mi_v0_850x600.svg,2,27,307465264,20362
incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=before_vs_after,LineChart,,,4b4e99be009e477408c130bf7fd048b4,incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=before_vs_after_v0_850x600.svg,2,29,426609888,54207
incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=dhi,LineChart,,,1bcdc8af7d4db56c6b7b99c73729375b,incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=dhi_v0_850x600.svg,1,23,305801808,34154
incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=mi,LineChart,,,ee2404a102f727771354d6af6a819568,incomes-across-distribution-lis?decile=_1&period=day&indicator=thr&welfare_type=mi_v0_850x600.svg,2,22,420813440,20053
incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=before_vs_after,LineChart,,,a2f6d7d74c68188c601ca65efbfe3c96,incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=before_vs_after_v0_850x600.svg,3,47,357879136,53991
incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=dhi,LineChart,,,e01c080f04f8354c38b3794f2733b1a9,incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=dhi_v0_850x600.svg,1,31,306682952,34111
incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=mi,LineChart,,,aedb842d4835d38aa6d9e8692144dada,incomes-across-distribution-lis?decile=_1&period=month&indicator=avg&welfare_type=mi_v0_850x600.svg,3,32,321916696,19880
incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=before_vs_after,LineChart,,,7249ab7e51b44b5c1ef90db4ce45ae4d,incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=before_vs_after_v0_850x600.svg,2,36,420878384,54129
incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=dhi,LineChart,,,bd99213e75c67acae865bfd9806bcd5e,incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=dhi_v0_850x600.svg,1,20,415201200,34281
incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=mi,LineChart,,,6a880995b284717206451b85d428e508,incomes-across-distribution-lis?decile=_1&period=month&indicator=thr&welfare_type=mi_v0_850x600.svg,2,20,299637464,19848
